Name,Category Slug,Description,Price (Rupees),Discount Price (Rupees),Stock,Storage Instructions
Dry Blueberry,berries,"Whole dried blueberries. Bursting with natural sweetness, rich in antioxidants, Vitamin C, and daily dietary fiber.",1950.0,1760.0,80,"Store in a cool, dry place or refrigerate for prolonged shelf life."
Dry Cranberry,berries,"Soft and tangy dried cranberries. Perfect balance of sweet and tart taste, packed with antioxidants and health benefits.",1300.0,1150.0,90,"Store in a cool, dark, airtight container."
Khuskhus,spices,"White poppy seeds (Khus Khus). Rich in minerals and calcium, widely used for thickening curries, thandai, and traditional desserts.",1850.0,1660.0,60,Keep dry in an airtight container away from humidity.
Kharbuja Giri,seeds,"Raw melon seeds (Kharbuja Giri). Nutrient-dense seeds loaded with plant protein, magnesium, and zinc for healthy snacking and cooking.",1100.0,980.0,90,Keep in an airtight container in a dry location.
Mungfali,mixed-nuts,"High-grade raw shelled peanuts (Mungfali Giri). Excellent source of plant protein, healthy fats, and energy for roasting or cooking.",190.0,160.0,200,Store in a dry place.
Sasme Seeds Til,seeds,"Cleaned hulled white sesame seeds (Safed Til). Rich in calcium and healthy fats, ideal for winter sweets, baking, and garnishing.",270.0,230.0,150,Keep dry in an airtight jar.
1 pcs Kaaju Salted,cashews,"Crisp roasted whole cashews with a touch of Himalayan salt. Creamy, savory snack perfect for tea-time and entertaining guests.",1400.0,1250.0,100,Store in an airtight box to keep crunchy.
Chia Seeds,seeds,"Raw organic chia seeds. Loaded with Omega-3, fiber, and protein. Expands in liquids to form healthy puddings and smoothie toppers.",530.0,470.0,120,"Store in a cool, dry place."
Flex Seeds Roasted,seeds,"Crunchy roasted flax seeds (Alsi). Rich in lignans and dietary fiber, perfect as a digestive after-meal snack.",450.0,390.0,100,Store in an airtight jar.
Flex Seeds,seeds,"Raw natural flax seeds (Alsi). Abundant in Omega-3 fatty acids and fiber, ideal for grinding into daily powders or breakfast bowls.",200.0,170.0,150,"Store in a cool, dry place."
Sunflower Seeds,seeds,"Shelled raw sunflower seed kernels. Rich in Vitamin E, selenium, and healthy fats for heart health and glowing skin.",420.0,360.0,110,"Store in a cool, dry place."
Pumpkin Seeds,seeds,"AAA-grade raw pumpkin seeds (Kaddu Giri). High in zinc, magnesium, and antioxidants for prostate, heart, and immunity health.",780.0,680.0,100,Keep in an airtight container in a cool spot.
Besil Seeds,seeds,"Sweet basil seeds (Sabja Seeds). Natural cooling agent rich in fiber; swells quickly in water for faloodas, lemonade, and summer drinks.",880.0,780.0,90,Keep dry in a moisture-free container.
Chilgoza,mixed-nuts,"Luxury raw pine nuts in shell (Chilgoza). Rare, exotic dry fruit packed with pinolenic acid, high protein, and unmatched butteriness.",5800.0,5120.0,30,Store in a refrigerator in a tight jar.
Arjun Chaal,ayurvedic,Pure dried Terminalia Arjuna bark (Arjun Chaal). Renowned Ayurvedic botanical herbal remedy for heart wellness and blood pressure support.,300.0,260.0,80,Store in a dry place away from moisture.
Chironji,mixed-nuts,"Premium whole Chironji seeds (Charoli). Nutty taste with high protein and essential oils, prized in Indian sweets, kheer, and Mughlai curries.",1980.0,1780.0,50,"Store in a cool, dry airtight container."
Priticious Special,spices,"Signature Priticious dry fruit powder mix. Master blend of ground almonds, pistachios, cashews, saffron, and cardamom for energy milk mixes.",1300.0,1150.0,70,Store in a cool place in an airtight jar.
Mishri,sweets,Pure rock sugar crystals (Dhaaga Mishri). Traditional digestive mouth freshener and unrefined natural sweetener for prasad and beverages.,130.0,110.0,150,"Keep in a dry, moisture-free jar."
Fitkari,ayurvedic,"Pure natural Alum stone crystal (Phitkari). Multi-purpose traditional mineral for water purification, skin care, and mouth hygiene.",120.0,100.0,100,Keep dry.
Pista Pishori,pistachios,"Authentic Peshawari green pistachio kernels (Pishori Pista). Vibrant green color, rich nut aroma, and exquisite taste for luxury desserts.",4300.0,3880.0,40,Store in a cool place or refrigerate.
WaterMelon Seeds,seeds,"Shelled raw watermelon seed kernels (Tarbooj Giri). Nutrient-dense source of protein, iron, and magnesium for heart health and daily vitality.",750.0,650.0,100,Store in an airtight container in a dry place.
